timestamp,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,date
2025-05-16 17:00:00,104152.68,104386.43,100845.68,103867.97,110.71658,11526801.5900085,8668.0,61.92894,6448177.2820176,2025-05-16
2025-05-16 18:00:00,103867.97,104067.0,103703.42,103714.12,105.03945,10915249.5381324,8189.0,64.50508,6703032.5698461,2025-05-16
2025-05-16 19:00:00,103714.14,104007.76,103586.99,104007.76,98.93903,10265072.5517272,7575.0,62.45711,6480629.3787876,2025-05-16
2025-05-16 20:00:00,104007.42,104033.94,103526.44,103690.0,73.97944,7675721.1361158,6942.0,42.42835,4402147.3375362,2025-05-16
2025-05-16 21:00:00,103605.22,103789.35,103500.65,103612.0,64.79307,6717155.3821863,5798.0,34.74215,3601780.6500947,2025-05-16
2025-05-16 22:00:00,103612.0,103634.54,103404.88,103537.97,87.99299,9104607.9490333,6835.0,52.57063,5439036.1678761,2025-05-16
2025-05-16 23:00:00,103537.97,103669.49,103428.57,103474.09,68.79941,7124613.1028239,6598.0,40.00122,4142595.3532664,2025-05-16
2025-05-17 00:00:00,103474.09,103539.69,103099.96,103322.46,89.30524,9228832.6344754,7738.0,47.45643,4904279.1466932,2025-05-17
2025-05-17 01:00:00,103322.46,103588.77,102612.06,102822.59,102.68664,10565411.6997855,7753.0,57.57205,5922259.580179,2025-05-17
2025-05-17 02:00:00,102822.55,103354.0,98769.33,103294.41,105.94471,10922943.8841998,7493.0,66.66606,6873604.8740178,2025-05-17
2025-05-17 03:00:00,103291.0,103538.18,103181.21,103513.34,78.7294,8132598.9309569,6929.0,49.22984,5085389.6272275,2025-05-17
2025-05-17 04:00:00,103514.04,105940.3,103476.2,103659.44,90.56043,9379845.66664,6782.0,55.24794,5722782.5065737,2025-05-17
2025-05-17 05:00:00,103659.5,109586.7,103328.12,103342.78,69.5552,7200760.8737192,6195.0,30.40568,3147477.1185065,2025-05-17
2025-05-17 06:00:00,103342.79,103506.95,103292.36,103487.95,69.23775,7160694.9118592,5827.0,44.89974,4643649.1896187,2025-05-17
2025-05-17 07:00:00,103487.96,103624.98,103437.0,103451.15,65.57024,6788086.2946942,5730.0,36.43019,3771397.0268148,2025-05-17
2025-05-17 08:00:00,103451.15,103557.84,103136.73,103421.51,91.45886,9457303.2090277,6698.0,50.2528,5196058.2140849,2025-05-17
2025-05-17 09:00:00,103421.51,103519.85,94407.52,102910.5,102.92252,10602474.9762002,6967.0,57.03915,5876939.9701833,2025-05-17
2025-05-17 10:00:00,102910.5,103363.27,30000.0,102868.06,100.60905,10344474.1781454,6003.0,60.2933,6201097.812839,2025-05-17
2025-05-17 11:00:00,102868.06,103099.84,102704.8,102992.92,74.26582,7641613.1699578,6030.0,45.87888,4720826.6072555,2025-05-17
2025-05-17 12:00:00,102992.92,103052.57,102900.0,102922.43,83.36253,8583847.3226002,6793.0,43.62923,4492488.7850243,2025-05-17
2025-05-17 13:00:00,102922.43,103103.76,102646.42,102697.05,79.43855,8172349.2394476,6463.0,36.29479,3733777.6614125,2025-05-17
2025-05-17 14:00:00,102697.05,103161.51,51520.75,103120.87,86.26113,8829138.3516562,5925.0,54.73585,5634255.0488918,2025-05-17
2025-05-17 15:00:00,103120.87,109154.45,31000.0,102939.51,69.20759,7133273.4409321,6827.0,33.98736,3503638.443884,2025-05-17
2025-05-17 16:00:00,102939.54,103055.44,33000.0,102881.99,79.48394,8162138.9105082,6360.0,45.93243,4727501.0021922,2025-05-17
2025-05-17 17:00:00,102876.0,103292.88,102875.71,103130.43,74.30224,7663070.2577268,6905.0,42.9214,4426174.598702,2025-05-17
