timestamp,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,date
2025-05-16 17:00:00,104152.68,104247.05,104134.53,104247.05,10.08546,1050772.6326263,815.0,9.08594,946648.3579336,2025-05-16
2025-05-16 17:05:00,104247.05,104250.77,100845.68,104020.5,5.97279,621783.8778042,762.0,1.46435,152509.1322809,2025-05-16
2025-05-16 17:10:00,104020.5,104142.86,103982.5,104134.47,10.61144,1104305.8139301,699.0,7.61126,792100.7289966,2025-05-16
2025-05-16 17:15:00,104134.47,104292.0,104130.26,104281.79,12.80345,1334437.4112202,779.0,10.29624,1073042.9834685,2025-05-16
2025-05-16 17:20:00,104281.57,104342.2,104275.5,104324.89,8.40154,876320.9312427,651.0,5.40706,563988.5087717,2025-05-16
2025-05-16 17:25:00,104327.83,104386.43,104242.02,104261.65,8.52311,889138.263177,755.0,2.97856,310723.3978937,2025-05-16
2025-05-16 17:30:00,104261.66,104301.04,104116.15,104116.35,11.84155,1234240.9819629,931.0,5.98903,624380.4745513,2025-05-16
2025-05-16 17:35:00,104116.15,104116.55,103952.38,103960.51,10.66608,1109617.411934,668.0,3.34507,347923.0654351,2025-05-16
2025-05-16 17:40:00,103960.51,104012.92,103957.26,104012.92,7.97655,829376.8601571,590.0,4.81333,500470.7432309,2025-05-16
2025-05-16 17:45:00,104012.92,104019.99,103997.52,104001.51,5.2481,545859.2742033,486.0,2.95061,306886.5747741,2025-05-16
2025-05-16 17:50:00,104001.51,104002.5,103867.75,103867.76,8.11067,843177.1968476,672.0,1.05359,109539.6346831,2025-05-16
2025-05-16 17:55:00,103867.76,103899.42,103779.92,103867.97,10.47584,1087770.9349031,860.0,6.9339,719963.6799981,2025-05-16
2025-05-16 18:00:00,103867.97,103954.19,103836.0,103954.0,10.06033,1044955.3775952,778.0,8.25565,857524.9593542,2025-05-16
2025-05-16 18:05:00,103954.19,104040.03,103932.07,104027.2,9.7478,1013649.832793,675.0,7.90676,822176.2536592,2025-05-16
2025-05-16 18:10:00,104027.2,104064.96,103992.46,104026.19,10.24449,1065722.6607858,675.0,7.35229,764820.7098681,2025-05-16
2025-05-16 18:15:00,104025.43,104067.0,103967.0,103969.17,8.16591,849384.5592073,622.0,4.24513,441551.3189204,2025-05-16
2025-05-16 18:20:00,103969.17,103981.01,103951.52,103971.96,7.03796,731690.5983602,586.0,3.69616,384268.0996774,2025-05-16
2025-05-16 18:25:00,103971.96,104000.0,103841.79,103849.94,10.93051,1136482.4430232,792.0,6.02451,626398.7798703,2025-05-16
2025-05-16 18:30:00,103849.94,103876.27,103823.59,103872.16,9.67351,1004602.0365154,679.0,6.09117,632614.4960476,2025-05-16
2025-05-16 18:35:00,103872.16,104033.48,103872.16,103992.76,6.37605,663087.6526033,714.0,4.18313,435011.9538804,2025-05-16
2025-05-16 18:40:00,103992.75,103992.77,103825.55,103828.21,10.30547,1070733.0383009,741.0,2.04117,212067.7066599,2025-05-16
2025-05-16 18:45:00,103828.21,103861.74,103799.29,103811.69,6.04134,627303.8655457,509.0,4.6306,480809.7502218,2025-05-16
2025-05-16 18:50:00,103809.54,103809.54,103763.01,103789.0,7.14921,741980.9750601,664.0,4.78966,497089.4308462,2025-05-16
2025-05-16 18:55:00,103787.49,103851.36,103703.42,103714.12,9.30687,965656.4983423,754.0,5.28885,548699.1108406,2025-05-16
2025-05-16 19:00:00,103714.14,103815.31,103653.69,103711.29,12.91166,1339406.7764225,773.0,5.7086,592135.4664099,2025-05-16
2025-05-16 19:05:00,103711.29,103801.84,103707.94,103716.83,9.35531,970672.7029532,614.0,6.96505,722662.3254672,2025-05-16
2025-05-16 19:10:00,103716.83,103773.65,103716.33,103724.81,8.24628,855527.8921628,708.0,5.20506,540013.8323408,2025-05-16
2025-05-16 19:15:00,103724.81,103725.06,103635.34,103636.47,8.59014,890582.1116991,657.0,2.91259,301922.5354027,2025-05-16
2025-05-16 19:20:00,103636.47,103637.56,103586.99,103607.64,9.44097,978212.1616218,648.0,3.85331,399249.1604783,2025-05-16
2025-05-16 19:25:00,103607.65,103675.44,103595.53,103675.44,7.54188,781564.9151035,768.0,7.02989,728513.6311242,2025-05-16
2025-05-16 19:30:00,103675.44,103814.4,103666.66,103795.11,12.04431,1249536.9991263,748.0,8.91279,924718.0202218,2025-05-16
2025-05-16 19:35:00,103795.1,103831.12,103664.53,103802.74,8.90318,924165.9287482,610.0,5.90496,612966.9553776,2025-05-16
2025-05-16 19:40:00,103802.04,103806.77,103762.58,103790.64,3.5146,364759.33676,383.0,2.23269,231709.5189169,2025-05-16
2025-05-16 19:45:00,103790.65,103841.9,103788.56,103835.42,3.61708,375490.3498771,447.0,2.30195,238973.2314241,2025-05-16
2025-05-16 19:50:00,103835.42,103902.08,103822.87,103902.06,6.07696,631071.4959727,539.0,4.16449,432443.7588074,2025-05-16
2025-05-16 19:55:00,103902.06,104007.76,103901.86,104007.76,8.69666,904081.88128,680.0,7.26573,755320.9428167,2025-05-16
2025-05-16 20:00:00,104007.42,104033.94,103912.13,103929.23,6.4935,675134.9057559,587.0,3.2075,333504.4267485,2025-05-16
2025-05-16 20:05:00,103929.23,104015.95,103845.2,103945.01,10.41006,1082017.465776,666.0,7.29925,758729.0545872,2025-05-16
2025-05-16 20:10:00,103945.01,103960.59,103920.62,103920.65,3.59157,373315.6187838,468.0,2.68872,279478.9788036,2025-05-16
2025-05-16 20:15:00,103920.63,103920.64,103863.73,103864.0,3.694,383790.4024714,590.0,1.14946,119409.342347,2025-05-16
2025-05-16 20:20:00,103863.73,103882.0,103840.0,103854.19,5.23807,544061.4606218,638.0,2.89062,300234.3185115,2025-05-16
2025-05-16 20:25:00,103854.19,103880.17,103854.05,103880.02,4.36432,453286.642632,505.0,3.5563,369363.1975642,2025-05-16
2025-05-16 20:30:00,103880.02,103881.23,103650.74,103650.74,6.71347,696877.4081901,723.0,1.64082,170360.3793401,2025-05-16
2025-05-16 20:35:00,103651.63,103678.7,103562.87,103643.8,9.07945,940689.526719,682.0,5.73794,594489.7638863,2025-05-16
2025-05-16 20:40:00,103643.8,103644.84,103587.82,103589.04,3.72068,385541.6197058,526.0,0.9379,97190.9434205,2025-05-16
2025-05-16 20:45:00,103589.34,103601.32,103526.44,103531.93,7.63816,790892.5771053,556.0,4.44522,460250.238062,2025-05-16
2025-05-16 20:50:00,103547.01,103585.5,103531.93,103585.5,3.70519,383688.8951765,461.0,3.04315,315133.4105203,2025-05-16
2025-05-16 20:55:00,103585.5,103754.0,103527.12,103690.0,9.33097,966424.6131782,540.0,5.83147,604003.283745,2025-05-16
